Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 54초     all      1.65      0.00      0.55      0.00      0.00     97.80
14시 40분 54초       0      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 54초       1     25.74      0.00      3.96      0.00      0.00     70.30
14시 40분 54초       2      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 54초       3     10.00      0.00      2.00      0.00      0.00     88.00
14시 40분 54초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초       6      3.96      0.00      0.99      0.00      0.00     95.05
14시 40분 54초       7      1.00      0.00      1.00      0.00      0.00     98.00
14시 40분 54초       8      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 54초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      10      2.00      0.00      1.00      0.00      0.00     97.00
14시 40분 54초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      12      2.00      0.00      1.00      0.00      0.00     97.00
14시 40분 54초      13     14.14      0.00      4.04      0.00      0.00     81.82
14시 40분 54초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      15      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 54초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      17      1.00      0.00      0.00      0.00      0.00     99.00
14시 40분 54초      18      0.99      0.00      0.99      0.00      0.00     98.02
14시 40분 54초      19      0.00      0.00      1.01      0.00      0.00     98.99
14시 40분 54초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      22      3.03      0.00      0.00      0.00      0.00     96.97
14시 40분 54초      23      1.00      0.00      2.00      0.00      0.00     97.00
14시 40분 54초      24      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 54초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      34      0.00      0.00      1.01      0.00      0.00     98.99
14시 40분 54초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 54초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 40분 54초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 55초     all      1.30      0.00      0.60      0.00      0.00     98.10
14시 40분 55초       0     25.51      0.00      5.10      0.00      0.00     69.39
14시 40분 55초       1      3.03      0.00      1.01      0.00      0.00     95.96
14시 40분 55초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 55초       8      7.07      0.00      2.02      0.00      0.00     90.91
