Linux 6.6.23 (eternity2) 	05/23/25 	_x86_64_	(40 CPU)

17:53:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:53:16        all      2.05      0.00      0.73      0.68      0.00     96.55
17:53:16          0      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16          1     21.00      0.00      3.00      0.00      0.00     76.00
17:53:16          2      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16          3      5.00      0.00      0.00      0.00      0.00     95.00
17:53:16          4      1.98      0.00      4.95      7.92      0.00     85.15
17:53:16          5      0.00      0.00      2.00      0.00      0.00     98.00
17:53:16          6      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16          7      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16          8      7.14      0.00      0.00     11.22      0.00     81.63
17:53:16          9      8.82      0.00      2.94      0.00      0.00     88.24
17:53:16         10      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16         11      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16         12      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         13      1.00      0.00      1.00      1.00      0.00     97.00
17:53:16         14     31.31      0.00      4.04      0.00      0.00     64.65
17:53:16         15      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16         16      0.98      0.00      1.96      1.96      0.00     95.10
17:53:16         17      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         18      1.00      0.00      1.00      0.00      0.00     98.00
17:53:16         19      0.00      0.00      1.00      0.00      0.00     99.00
17:53:16         20      0.00      0.00      1.98      4.95      0.00     93.07
17:53:16         21      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         22      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         23      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         24      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         25      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         26      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         27      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         28      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         29      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         30      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         31      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         32      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         33      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         34      2.00      0.00      0.00      0.00      0.00     98.00
17:53:16         35      0.99      0.00      0.99      0.00      0.00     98.02
17:53:16         36      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         37      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         38      0.00      0.00      0.00      0.00      0.00    100.00
17:53:16         39      0.00      0.00      1.00      0.00      0.00     99.00

17:53:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:53:17        all      1.80      0.00      0.45      0.00      0.00     97.75
17:53:17          0      0.99      0.00      0.99      0.00      0.00     98.02
17:53:17          1      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17          2      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17          3      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17          4      0.99      0.00      1.98      0.00      0.00     97.03
17:53:17          5      1.00      0.00      0.00      0.00      0.00     99.00
17:53:17          6      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17          7     16.83      0.00      2.97      0.00      0.00     80.20
17:53:17          8      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17          9     43.88      0.00      5.10      0.00      0.00     51.02
17:53:17         10      6.06      0.00      1.01      0.00      0.00     92.93
17:53:17         11      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         12      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         13      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         14      0.00      0.00      1.00      0.00      0.00     99.00
17:53:17         15      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         16      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         17      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         18      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         19      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         20      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         21      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         22      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         23      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         24      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         25      1.00      0.00      0.00      0.00      0.00     99.00
17:53:17         26      1.00      0.00      0.00      0.00      0.00     99.00
17:53:17         27      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         28      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         29      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         30      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         31      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         32      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         33      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         34      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         35      0.00      0.00      1.00      0.00      0.00     99.00
17:53:17         36      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         37      1.00      0.00      1.00      0.00      0.00     98.00
17:53:17         38      0.00      0.00      0.00      0.00      0.00    100.00
17:53:17         39      0.00      0.00      0.00      0.00      0.00    100.00

17:53:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:53:18        all      1.10      0.00      0.35      0.05      0.00     98.50
17:53:18          0      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          1      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          2      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          3      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          4      0.00      0.00      0.99      0.00      0.00     99.01
17:53:18          5      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          6      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          7     35.00      0.00      5.00      0.00      0.00     60.00
17:53:18          8      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18          9      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         10      5.94      0.00      2.97      0.00      0.00     91.09
17:53:18         11      0.00      0.00      1.00      0.00      0.00     99.00
17:53:18         12      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         13      0.99      0.00      0.99      0.00      0.00     98.02
17:53:18         14      0.00      0.00      0.99      0.00      0.00     99.01
17:53:18         15      0.00      0.00      1.00      0.00      0.00     99.00
17:53:18         16      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         17      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         18      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         19      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         20      0.00      0.00      0.00      2.00      0.00     98.00
17:53:18         21      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         22      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         23      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         24      0.99      0.00      0.00      0.00      0.00     99.01
17:53:18         25      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         26      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         27      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         28      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         29      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         30      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         31      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         32      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         33      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         34      0.00      0.00      1.00      0.00      0.00     99.00
17:53:18         35      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         36      1.00      0.00      1.00      0.00      0.00     98.00
17:53:18         37      0.00      0.00      0.00      0.00      0.00    100.00
17:53:18         38      0.99      0.00      0.99      0.00      0.00     98.02
17:53:18         39      0.00      0.00      0.00      0.00      0.00    100.00

17:53:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:53:19        all      0.05      0.00      0.05      0.05      0.00     99.85
17:53:19          0      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          1      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          2      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          3      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          4      0.00      0.00      1.00      0.00      0.00     99.00
17:53:19          5      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          6      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          7      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          8      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19          9      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         10      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         11      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         12      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         13      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         14      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         15      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         16      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         17      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         18      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         19      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         20      0.00      0.00      0.00      1.00      0.00     99.00
17:53:19         21      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         22      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         23      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         24      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         25      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         26      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         27      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         28      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         29      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         30      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         31      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         32      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         33      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         34      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         35      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         36      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         37      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         38      0.00      0.00      0.00      0.00      0.00    100.00
17:53:19         39      0.00      0.00      0.00      0.00      0.00    100.00

17:53:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:53:20        all      0.00      0.00      0.03      0.00      0.00     99.98
17:53:20          0      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          1      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          2      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          3      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          4      0.99      0.00      0.00      0.00      0.00     99.01
17:53:20          5      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          6      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          7      0.99      0.00      0.99      0.00      0.00     98.02
17:53:20          8      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20          9      0.00      0.00      0.99      0.00      0.00     99.01
17:53:20         10      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         11      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         12      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         13      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         14      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         15      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         16      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         17      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         18      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         19      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         20      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         21      0.00      0.00      0.00      0.00      0.00    100.00
17:53:20         22      0.00      0.00      0.00      0.00      0.00    100.00
