Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

04:00:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:13        all      2.08      0.00      0.60      0.68      0.00     96.64
04:00:13          0      1.00      0.00      0.00      0.00      0.00     99.00
04:00:13          1      0.00      0.00      1.00      0.00      0.00     99.00
04:00:13          2     54.00      0.00      6.00      0.00      0.00     40.00
04:00:13          3      1.01      0.00      0.00      0.00      0.00     98.99
04:00:13          4      0.00      0.00      2.00      0.00      0.00     98.00
04:00:13          5      9.09      0.00      1.01      0.00      0.00     89.90
04:00:13          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         10      0.00      0.00      1.01      1.01      0.00     97.98
04:00:13         11      0.99      0.00      0.00      0.00      0.00     99.01
04:00:13         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         13      1.01      0.00      0.00      0.00      0.00     98.99
04:00:13         14      7.00      0.00      2.00      9.00      0.00     82.00
04:00:13         15      0.00      0.00      1.00      0.00      0.00     99.00
04:00:13         16      1.00      0.00      5.00      9.00      0.00     85.00
04:00:13         17      0.00      0.00      1.00      0.00      0.00     99.00
04:00:13         18      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         22      2.97      0.00      1.98      0.00      0.00     95.05
04:00:13         23      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         24      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         26      1.00      0.00      1.00      0.00      0.00     98.00
04:00:13         27      0.00      0.00      1.00      0.00      0.00     99.00
04:00:13         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         29      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         30      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         31      1.01      0.00      0.00      1.01      0.00     97.98
04:00:13         32      1.01      0.00      0.00      0.00      0.00     98.99
04:00:13         33      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         34      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         35      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         36      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         37      0.00      0.00      0.00      0.00      0.00    100.00
04:00:13         38      1.98      0.00      1.98      0.00      0.00     96.04
04:00:13         39      0.99      0.00      1.98      5.94      0.00     91.09

04:00:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:14        all      1.78      0.00      0.50      0.10      0.00     97.62
04:00:14          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          1      1.00      0.00      0.00      0.00      0.00     99.00
04:00:14          2      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          3      1.00      0.00      0.00      0.00      0.00     99.00
04:00:14          4      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          5     58.59      0.00      7.07      0.00      0.00     34.34
04:00:14          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         10      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         11      0.00      0.00      0.00      3.03      0.00     96.97
04:00:14         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         13      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         14      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         15      0.00      0.00      2.00      0.00      0.00     98.00
04:00:14         16      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         17      2.00      0.00      0.00      1.00      0.00     97.00
04:00:14         18      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         22      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         23      5.94      0.00      0.99      0.00      0.00     93.07
04:00:14         24      0.00      0.00      0.99      0.00      0.00     99.01
04:00:14         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         26      0.00      0.00      1.98      0.00      0.00     98.02
04:00:14         27      0.00      0.00      1.00      0.00      0.00     99.00
04:00:14         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         29      0.00      0.00      1.00      0.00      0.00     99.00
04:00:14         30      0.00      0.00      1.98      0.00      0.00     98.02
04:00:14         31      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         32      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         33      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         34      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         35      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         36      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         37      0.00      0.00      0.00      0.00      0.00    100.00
04:00:14         38      2.00      0.00      0.00      0.00      0.00     98.00
04:00:14         39      0.00      0.00      0.00      0.00      0.00    100.00

04:00:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:15        all      1.22      0.00      0.30      0.00      0.00     98.48
04:00:15          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          2      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          4      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          5     38.61      0.00      4.95      0.00      0.00     56.44
04:00:15          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:15          8      0.99      0.00      0.99      0.00      0.00     98.02
04:00:15          9      0.00      0.00      0.00      0.00      0.00    100.00
