Linux 6.6.23 (eternity1) 	05/24/25 	_x86_64_	(40 CPU)

01:45:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:45:06        all      1.90      0.00      0.80      0.73      0.00     96.57
01:45:06          0      0.00      0.00      2.00      0.00      0.00     98.00
01:45:06          1      8.25      0.00      3.09      7.22      0.00     81.44
01:45:06          2      0.99      0.00      2.97      1.98      0.00     94.06
01:45:06          3      0.00      0.00      1.01      1.01      0.00     97.98
01:45:06          4      0.00      0.00      2.00      1.00      0.00     97.00
01:45:06          5      1.98      0.00      1.98      0.00      0.00     96.04
01:45:06          6      4.95      0.00      1.98     10.89      0.00     82.18
01:45:06          7      1.98      0.00      0.99      0.00      0.00     97.03
01:45:06          8      0.99      0.00      1.98      5.94      0.00     91.09
01:45:06          9      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         10      1.00      0.00      1.00      0.00      0.00     98.00
01:45:06         11     53.00      0.00     10.00      0.00      0.00     37.00
01:45:06         12      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         13      0.00      0.00      1.00      0.00      0.00     99.00
01:45:06         14      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         15      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         16      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         17      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         18      1.00      0.00      0.00      0.00      0.00     99.00
01:45:06         19      0.00      0.00      0.99      0.00      0.00     99.01
01:45:06         20      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         21      0.00      0.00      1.00      0.00      0.00     99.00
01:45:06         22      0.99      0.00      0.00      0.00      0.00     99.01
01:45:06         23      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         24      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         25      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         26      0.00      0.00      0.99      0.00      0.00     99.01
01:45:06         27      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         28      0.00      0.00      0.99      0.00      0.00     99.01
01:45:06         29      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         30      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         31      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         32      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         33      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         34      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         35      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         36      1.01      0.00      0.00      0.00      0.00     98.99
01:45:06         37      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         38      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06         39      0.00      0.00      0.00      0.00      0.00    100.00

01:45:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:45:07        all      1.95      0.00      0.40      0.00      0.00     97.64
01:45:07          0      1.00      0.00      1.00      0.00      0.00     98.00
01:45:07          1      0.00      0.00      1.01      0.00      0.00     98.99
01:45:07          2      0.00      0.00      0.00      0.00      0.00    100.00
01:45:07          3      0.00      0.00      0.00      0.00      0.00    100.00
