Linux 6.6.23 (eternity1) 	05/24/25 	_x86_64_	(40 CPU)

01:52:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:52:14        all      2.13      0.00      0.63      0.73      0.00     96.52
01:52:14          0      0.00      0.00      1.01      0.00      0.00     98.99
01:52:14          1     16.16      0.00      1.01      1.01      0.00     81.82
01:52:14          2      2.00      0.00      1.00      2.00      0.00     95.00
01:52:14          3      1.01      0.00      1.01      0.00      0.00     97.98
01:52:14          4      4.00      0.00      2.00     10.00      0.00     84.00
01:52:14          5      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14          6      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14          7      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14          8      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14          9      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         10      2.00      0.00      1.00      4.00      0.00     93.00
01:52:14         11      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         12      1.00      0.00      0.00      0.00      0.00     99.00
01:52:14         13      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         14      1.00      0.00      0.00      0.00      0.00     99.00
01:52:14         15      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         16      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         17      8.00      0.00      0.00      0.00      0.00     92.00
01:52:14         18      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         19     13.00      0.00      4.00      0.00      0.00     83.00
01:52:14         20      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         21      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         22      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         23      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         24      1.00      0.00      0.00      0.00      0.00     99.00
01:52:14         25      1.00      0.00      2.00      0.00      0.00     97.00
01:52:14         26      1.01      0.00      2.02      3.03      0.00     93.94
01:52:14         27      1.00      0.00      0.00      2.00      0.00     97.00
01:52:14         28      1.01      0.00      0.00      0.00      0.00     98.99
01:52:14         29      1.00      0.00      1.00      6.00      0.00     92.00
01:52:14         30      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         31      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         32      5.05      0.00      0.00      0.00      0.00     94.95
01:52:14         33      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         34      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         35      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         36      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         37      0.00      0.00      0.00      0.00      0.00    100.00
01:52:14         38      0.00      0.00      0.99      0.00      0.00     99.01
01:52:14         39     24.49      0.00      3.06      0.00      0.00     72.45

01:52:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:52:15        all      1.88      0.00      0.38      0.05      0.00     97.70
01:52:15          0      0.00      0.00      1.02      1.02      0.00     97.96
01:52:15          1      1.01      0.00      1.01      0.00      0.00     97.98
01:52:15          2      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15          3      0.00      0.00      1.98      0.00      0.00     98.02
01:52:15          4      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15          5      1.00      0.00      0.00      0.00      0.00     99.00
01:52:15          6      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15          7      7.84      0.00      1.96      0.00      0.00     90.20
01:52:15          8      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15          9      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15         10      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15         11      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15         12      6.06      0.00      0.00      0.00      0.00     93.94
01:52:15         13      0.00      0.00      0.99      0.00      0.00     99.01
01:52:15         14      0.00      0.00      0.00      0.00      0.00    100.00
01:52:15         15      0.00      0.00      0.00      0.00      0.00    100.00
