Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:46:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:46:20        all      2.00      0.00      0.65      0.75      0.00     96.59
01:46:20          0      1.02      0.00      0.00      0.00      0.00     98.98
01:46:20          1      0.00      0.00      1.01      3.03      0.00     95.96
01:46:20          2      5.00      0.00      1.00     12.00      0.00     82.00
01:46:20          3      1.01      0.00      0.00      0.00      0.00     98.99
01:46:20          4      3.00      0.00      2.00      8.00      0.00     87.00
01:46:20          5      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20          6      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20          7      0.00      0.00      0.00      2.00      0.00     98.00
01:46:20          8      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20          9      0.00      0.00      0.00      5.10      0.00     94.90
01:46:20         10      7.07      0.00      1.01      0.00      0.00     91.92
01:46:20         11      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         12      0.99      0.00      0.99      0.00      0.00     98.02
01:46:20         13      3.92      0.00      1.96      0.00      0.00     94.12
01:46:20         14      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         15      1.00      0.00      0.00      0.00      0.00     99.00
01:46:20         16      5.05      0.00      0.00      0.00      0.00     94.95
01:46:20         17      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         18      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         19      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         20      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         21      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20         22      0.99      0.00      0.99      0.00      0.00     98.02
01:46:20         23      0.00      0.00      0.99      0.00      0.00     99.01
01:46:20         24      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         25      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         26      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20         27      0.00      0.00      0.99      0.00      0.00     99.01
01:46:20         28      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         29      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         30      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         31      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         32      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         33     49.00      0.00      8.00      0.00      0.00     43.00
01:46:20         34      1.02      0.00      0.00      0.00      0.00     98.98
01:46:20         35      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20         36      0.00      0.00      1.00      0.00      0.00     99.00
01:46:20         37      0.00      0.00      0.00      0.00      0.00    100.00
01:46:20         38      1.02      0.00      0.00      0.00      0.00     98.98
01:46:20         39      0.00      0.00      1.00      0.00      0.00     99.00

01:46:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:46:21        all      1.90      0.00      0.38      0.00      0.00     97.72
01:46:21          0      1.00      0.00      1.00      0.00      0.00     98.00
01:46:21          1      3.00      0.00      0.00      0.00      0.00     97.00
01:46:21          2      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21          3      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21          4      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21          5      6.93      0.00      0.99      0.00      0.00     92.08
01:46:21          6      0.00      0.00      1.00      0.00      0.00     99.00
01:46:21          7      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21          8      0.00      0.00      0.99      0.00      0.00     99.01
01:46:21          9      0.98      0.00      1.96      0.00      0.00     97.06
01:46:21         10     46.00      0.00      7.00      0.00      0.00     47.00
01:46:21         11      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         12      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         13      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         14      1.00      0.00      0.00      0.00      0.00     99.00
01:46:21         15      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         16     12.00      0.00      1.00      0.00      0.00     87.00
01:46:21         17      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         18      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         19      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         20      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         21      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         22      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         23      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         24      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         25      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         26      0.00      0.00      1.01      0.00      0.00     98.99
01:46:21         27      1.00      0.00      0.00      0.00      0.00     99.00
01:46:21         28      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         29      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         30      1.01      0.00      0.00      0.00      0.00     98.99
01:46:21         31      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         32      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         33      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         34      1.00      0.00      0.00      0.00      0.00     99.00
01:46:21         35      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         36      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         37      0.00      0.00      0.00      0.00      0.00    100.00
01:46:21         38      0.00      0.00      0.99      0.00      0.00     99.01
01:46:21         39      0.00      0.00      0.00      0.00      0.00    100.00

01:46:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:46:22        all      1.23      0.00      0.38      0.08      0.00     98.32
01:46:22          0      0.00      0.00      0.00      2.00      0.00     98.00
01:46:22          1      0.00      0.00      0.00      2.02      0.00     97.98
01:46:22          2      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22          3      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22          4      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22          5      1.00      0.00      0.00      0.00      0.00     99.00
01:46:22          6      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22          7      1.00      0.00      0.00      0.00      0.00     99.00
01:46:22          8      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22          9      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         10      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         11      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         12      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         13      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         14      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         15      0.00      0.00      1.00      0.00      0.00     99.00
01:46:22         16     35.00      0.00      7.00      0.00      0.00     58.00
01:46:22         17      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         18      0.00      0.00      0.00      0.00      0.00    100.00
01:46:22         19      0.00      0.00      0.00      0.00      0.00    100.00
