Linux 6.6.23 (eternity1) 	05/24/25 	_x86_64_	(40 CPU)

03:58:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:59:00        all      2.00      0.00      0.70      0.70      0.00     96.59
03:59:00          0      8.08      0.00      1.01      0.00      0.00     90.91
03:59:00          1      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          2      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          3      0.00      0.00      1.00      0.00      0.00     99.00
03:59:00          4      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          5      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          6      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          7     22.00      0.00      4.00      0.00      0.00     74.00
03:59:00          8      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00          9      5.94      0.00      1.98      0.00      0.00     92.08
03:59:00         10      4.95      0.00      0.99      9.90      0.00     84.16
03:59:00         11      0.00      0.00      0.99      0.00      0.00     99.01
03:59:00         12      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         13      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         14      0.00      0.00      1.00      2.00      0.00     97.00
03:59:00         15      0.00      0.00      0.00      2.00      0.00     98.00
03:59:00         16      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         17      0.00      0.00      0.99      0.00      0.00     99.01
03:59:00         18      1.00      0.00      1.00      0.00      0.00     98.00
03:59:00         19      0.00      0.00      1.01      0.00      0.00     98.99
03:59:00         20      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         21      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         22      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         23      1.00      0.00      1.00      0.00      0.00     98.00
03:59:00         24      0.99      0.00      1.98      0.00      0.00     97.03
03:59:00         25      0.00      0.00      1.01      0.00      0.00     98.99
03:59:00         26      1.00      0.00      0.00      0.00      0.00     99.00
03:59:00         27     13.00      0.00      1.00      0.00      0.00     86.00
03:59:00         28      0.00      0.00      1.00      0.00      0.00     99.00
03:59:00         29      0.00      0.00      0.99      0.00      0.00     99.01
03:59:00         30      2.00      0.00      0.00      1.00      0.00     97.00
03:59:00         31      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         32      1.02      0.00      0.00      0.00      0.00     98.98
03:59:00         33     18.37      0.00      6.12      7.14      0.00     68.37
03:59:00         34      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         35      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         36      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         37      0.00      0.00      1.98      4.95      0.00     93.07
03:59:00         38      0.00      0.00      0.00      0.00      0.00    100.00
03:59:00         39      0.00      0.00      0.00      0.00      0.00    100.00

