Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:44:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:18        all      2.10      0.00      0.65      0.68      0.00     96.57
01:44:18          0      0.00      0.00      1.02      0.00      0.00     98.98
01:44:18          1     33.00      0.00      6.00      0.00      0.00     61.00
01:44:18          2      0.00      0.00      1.00      0.00      0.00     99.00
01:44:18          3      1.01      0.00      1.01      0.00      0.00     97.98
01:44:18          4      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18          5      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18          6      5.00      0.00      0.00      0.00      0.00     95.00
01:44:18          7      1.01      0.00      0.00      0.00      0.00     98.99
01:44:18          8      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18          9      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         10      0.99      0.00      0.99      0.00      0.00     98.02
01:44:18         11      1.01      0.00      0.00      0.00      0.00     98.99
01:44:18         12      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         13      4.00      0.00      2.00      7.00      0.00     87.00
01:44:18         14      8.00      0.00      2.00      0.00      0.00     90.00
01:44:18         15      1.01      0.00      0.00      0.00      0.00     98.99
01:44:18         16      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         17      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         18      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         19     13.00      0.00      2.00      0.00      0.00     85.00
01:44:18         20      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         21      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         22      0.98      0.00      1.96      0.00      0.00     97.06
01:44:18         23      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         24      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         25      1.00      0.00      0.00      0.00      0.00     99.00
01:44:18         26      2.02      0.00      0.00      0.00      0.00     97.98
01:44:18         27      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         28      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         29      1.00      0.00      0.00      0.00      0.00     99.00
01:44:18         30      0.00      0.00      0.99      0.00      0.00     99.01
01:44:18         31      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         32      6.93      0.00      1.98     11.88      0.00     79.21
01:44:18         33      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         34      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         35      0.00      0.00      0.00      0.00      0.00    100.00
01:44:18         36      1.00      0.00      0.00      0.00      0.00     99.00
01:44:18         37      0.00      0.00      1.00      3.00      0.00     96.00
01:44:18         38      0.00      0.00      1.00      0.00      0.00     99.00
01:44:18         39      6.12      0.00      0.00      5.10      0.00     88.78

01:44:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:19        all      1.68      0.00      0.53      0.08      0.00     97.72
01:44:19          0      0.99      0.00      0.99      0.00      0.00     98.02
01:44:19          1      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19          2      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19          3      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19          4      0.99      0.00      0.99      0.00      0.00     98.02
01:44:19          5      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19          6      0.00      0.00      0.99      0.00      0.00     99.01
01:44:19          7      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19          8      0.00      0.00      0.00      3.00      0.00     97.00
01:44:19          9      1.00      0.00      0.00      0.00      0.00     99.00
01:44:19         10      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         11      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         12      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         13      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         14     42.42      0.00      9.09      0.00      0.00     48.48
01:44:19         15     15.00      0.00      2.00      0.00      0.00     83.00
01:44:19         16      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         17      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         18      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         19      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         20      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         21      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         22      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         23      0.00      0.00      1.00      0.00      0.00     99.00
01:44:19         24      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         25      6.06      0.00      1.01      0.00      0.00     92.93
01:44:19         26      0.00      0.00      1.98      0.00      0.00     98.02
01:44:19         27      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         28      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         29      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         30      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         31      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         32      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         33      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         34      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         35      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         36      0.00      0.00      0.00      0.00      0.00    100.00
01:44:19         37      1.00      0.00      1.00      0.00      0.00     98.00
01:44:19         38      0.99      0.00      0.99      0.00      0.00     98.02
01:44:19         39      0.00      0.00      0.00      0.00      0.00    100.00

01:44:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:20        all      1.25      0.00      0.35      0.03      0.00     98.37
01:44:20          0      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          1      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          2      6.93      0.00      0.99      0.00      0.00     92.08
01:44:20          3      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          4      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          5      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          6      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20          7      1.00      0.00      0.00      0.00      0.00     99.00
01:44:20          8      1.01      0.00      0.00      1.01      0.00     97.98
01:44:20          9      0.99      0.00      0.99      0.00      0.00     98.02
01:44:20         10      0.00      0.00      0.99      0.00      0.00     99.01
01:44:20         11      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20         12      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20         13      0.00      0.00      0.00      0.00      0.00    100.00
01:44:20         14      0.00      0.00      0.00      0.00      0.00    100.00
