Linux 6.6.23 (eternity1) 	05/24/25 	_x86_64_	(40 CPU)

01:54:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:54:17        all      2.03      0.00      0.70      0.70      0.00     96.57
01:54:17          0      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          1      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          2      1.00      0.00      1.00      0.00      0.00     98.00
01:54:17          3      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          4      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          5      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          6     17.82      0.00      3.96      0.00      0.00     78.22
01:54:17          7      0.98      0.00      1.96      0.00      0.00     97.06
01:54:17          8      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17          9      1.00      0.00      1.00      0.00      0.00     98.00
01:54:17         10      1.01      0.00      1.01      5.05      0.00     92.93
01:54:17         11      5.15      0.00      2.06     10.31      0.00     82.47
01:54:17         12      2.02      0.00      0.00      8.08      0.00     89.90
01:54:17         13     10.10      0.00      1.01      0.00      0.00     88.89
01:54:17         14      1.00      0.00      3.00      0.00      0.00     96.00
01:54:17         15      0.98      0.00      1.96      0.00      0.00     97.06
01:54:17         16      0.00      0.00      1.01      3.03      0.00     95.96
01:54:17         17      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         18      0.00      0.00      1.00      0.00      0.00     99.00
01:54:17         19      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         20      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         21      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         22      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         23      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         24      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         25      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         26     19.80      0.00      5.94      0.00      0.00     74.26
01:54:17         27      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         28      2.02      0.00      1.01      0.00      0.00     96.97
01:54:17         29      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         30      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         31      1.00      0.00      0.00      0.00      0.00     99.00
01:54:17         32      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         33     11.88      0.00      0.99      0.00      0.00     87.13
01:54:17         34      3.00      0.00      0.00      0.00      0.00     97.00
01:54:17         35      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         36      0.00      0.00      0.00      0.00      0.00    100.00
01:54:17         37      0.00      0.00      0.00      2.02      0.00     97.98
01:54:17         38      0.00      0.00      1.00      0.00      0.00     99.00
01:54:17         39      0.00      0.00      0.00      0.00      0.00    100.00

01:54:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:54:18        all      1.78      0.00      0.48      0.00      0.00     97.75
01:54:18          0      0.00      0.00      1.01      0.00      0.00     98.99
01:54:18          1      1.00      0.00      1.00      0.00      0.00     98.00
01:54:18          2      1.00      0.00      2.00      0.00      0.00     97.00
01:54:18          3      0.99      0.00      0.99      0.00      0.00     98.02
01:54:18          4      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18          5      1.00      0.00      1.00      0.00      0.00     98.00
01:54:18          6      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18          7      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18          8      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18          9      2.00      0.00      1.00      0.00      0.00     97.00
01:54:18         10      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         11      5.00      0.00      1.00      0.00      0.00     94.00
01:54:18         12      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         13      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         14      1.00      0.00      0.00      0.00      0.00     99.00
01:54:18         15      0.00      0.00      1.01      0.00      0.00     98.99
01:54:18         16      0.99      0.00      0.99      0.00      0.00     98.02
01:54:18         17      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         18      5.94      0.00      1.98      0.00      0.00     92.08
01:54:18         19      0.00      0.00      1.00      0.00      0.00     99.00
01:54:18         20      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         21      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         22      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         23      0.00      0.00      0.99      0.00      0.00     99.01
01:54:18         24      1.00      0.00      0.00      0.00      0.00     99.00
01:54:18         25      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         26      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         27      0.99      0.00      0.00      0.00      0.00     99.01
01:54:18         28      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         29      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         30      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         31      0.00      0.00      0.99      0.00      0.00     99.01
01:54:18         32      0.00      0.00      0.99      0.00      0.00     99.01
01:54:18         33      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         34     52.00      0.00      8.00      0.00      0.00     40.00
01:54:18         35      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         36      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         37      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         38      0.00      0.00      0.00      0.00      0.00    100.00
01:54:18         39      0.99      0.00      0.00      0.00      0.00     99.01

01:54:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:54:19        all      1.75      0.00      0.40      0.00      0.00     97.85
01:54:19          0      1.98      0.00      0.00      0.00      0.00     98.02
01:54:19          1      1.00      0.00      1.00      0.00      0.00     98.00
01:54:19          2      1.00      0.00      0.00      0.00      0.00     99.00
01:54:19          3      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19          4      2.00      0.00      1.00      0.00      0.00     97.00
01:54:19          5      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19          6      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19          7      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19          8      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19          9      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         10      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         11      0.99      0.00      0.00      0.00      0.00     99.01
01:54:19         12      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         13      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         14     38.38      0.00      6.06      0.00      0.00     55.56
01:54:19         15      0.99      0.00      0.99      0.00      0.00     98.02
01:54:19         16      1.00      0.00      0.00      0.00      0.00     99.00
01:54:19         17      0.99      0.00      0.00      0.00      0.00     99.01
01:54:19         18     11.11      0.00      0.00      0.00      0.00     88.89
01:54:19         19      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         20      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         21      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         22      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         23      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         24      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         25      1.00      0.00      0.00      0.00      0.00     99.00
01:54:19         26      0.00      0.00      2.00      0.00      0.00     98.00
01:54:19         27      0.00      0.00      1.01      0.00      0.00     98.99
01:54:19         28      1.00      0.00      0.00      0.00      0.00     99.00
01:54:19         29      0.99      0.00      0.99      0.00      0.00     98.02
01:54:19         30      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         31      5.05      0.00      0.00      0.00      0.00     94.95
01:54:19         32      0.99      0.00      0.00      0.00      0.00     99.01
01:54:19         33      0.00      0.00      1.00      0.00      0.00     99.00
01:54:19         34      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         35      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         36      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         37      0.99      0.00      0.00      0.00      0.00     99.01
01:54:19         38      0.00      0.00      0.00      0.00      0.00    100.00
01:54:19         39      0.00      0.00      0.00      0.00      0.00    100.00

01:54:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:54:20        all      0.05      0.00      0.00      0.00      0.00     99.95
01:54:20          0      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          1      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          2      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          3      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          4      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          5      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          6      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          7      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          8      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20          9      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         10      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         11      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         12      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         13      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         14      1.00      0.00      0.00      0.00      0.00     99.00
01:54:20         15      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         16      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         17      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         18      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         19      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         20      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         21      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         22      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         23      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         24      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         25      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         26      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         27      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         28      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         29      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         30      0.99      0.00      0.00      0.00      0.00     99.01
01:54:20         31      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         32      0.00      0.00      0.00      0.00      0.00    100.00
01:54:20         33      0.00      0.00      0.00      0.00      0.00    100.00
