Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:48:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:48:23        all      2.10      0.00      0.63      0.73      0.00     96.55
01:48:23          0      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23          1      7.92      0.00      0.99     11.88      0.00     79.21
01:48:23          2      0.00      0.00      2.00      5.00      0.00     93.00
01:48:23          3      0.00      0.00      1.01      0.00      0.00     98.99
01:48:23          4      0.00      0.00      1.00      2.00      0.00     97.00
01:48:23          5      0.00      0.00      1.00      0.00      0.00     99.00
01:48:23          6      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23          7      2.97      0.00      2.97      6.93      0.00     87.13
01:48:23          8      1.01      0.00      0.00      2.02      0.00     96.97
01:48:23          9      1.00      0.00      0.00      1.00      0.00     98.00
01:48:23         10      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         11      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         12     38.38      0.00      3.03      0.00      0.00     58.59
01:48:23         13     10.10      0.00      2.02      0.00      0.00     87.88
01:48:23         14      2.00      0.00      0.00      0.00      0.00     98.00
01:48:23         15      1.01      0.00      0.00      0.00      0.00     98.99
01:48:23         16      0.00      0.00      1.00      0.00      0.00     99.00
01:48:23         17      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         18      0.00      0.00      1.01      0.00      0.00     98.99
01:48:23         19      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         20      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         21      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         22      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         23      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         24      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         25      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         26      0.00      0.00      0.99      0.00      0.00     99.01
01:48:23         27      0.00      0.00      0.99      0.00      0.00     99.01
01:48:23         28      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         29      0.00      0.00      0.00      0.00      0.00    100.00
01:48:23         30      0.98      0.00      1.96      0.00      0.00     97.06
01:48:23         31      6.00      0.00      1.00      0.00      0.00     93.00
01:48:23         32      8.08      0.00      1.01      0.00      0.00     90.91
01:48:23         33      0.00      0.00      0.00      0.00      0.00    100.00
