Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:55:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:55:31        all      2.05      0.00      0.65      1.08      0.00     96.22
01:55:31          0      1.00      0.00      1.00      1.00      0.00     97.00
01:55:31          1      1.00      0.00      1.00      0.00      0.00     98.00
01:55:31          2      1.00      0.00      1.00      0.00      0.00     98.00
01:55:31          3      0.00      0.00      1.02      5.10      0.00     93.88
01:55:31          4     18.81      0.00      2.97      1.98      0.00     76.24
01:55:31          5      7.07      0.00      2.02     12.12      0.00     78.79
01:55:31          6      9.00      0.00      0.00      0.00      0.00     91.00
01:55:31          7      0.00      0.00      2.02     15.15      0.00     82.83
01:55:31          8      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31          9      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         10      0.00      0.00      1.00      0.00      0.00     99.00
01:55:31         11      0.00      0.00      1.00      1.00      0.00     98.00
01:55:31         12      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         13      0.00      0.00      1.00      0.00      0.00     99.00
01:55:31         14     11.11      0.00      2.02      0.00      0.00     86.87
01:55:31         15      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         16      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         17      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         18      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         19      0.00      0.00      0.99      0.00      0.00     99.01
01:55:31         20      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         21      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         22      0.99      0.00      0.00      0.00      0.00     99.01
01:55:31         23      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         24      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         25      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         26      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         27      0.00      0.00      0.00      0.00      0.00    100.00
01:55:31         28      0.00      0.00      3.96      0.00      0.00     96.04
