Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:41:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:16        all      2.28      0.00      0.68      0.78      0.00     96.27
01:41:16          0      0.98      0.00      0.98      0.98      0.00     97.06
01:41:16          1      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16          2      0.99      0.00      0.99      0.00      0.00     98.02
01:41:16          3     13.27      0.00      1.02     12.24      0.00     73.47
01:41:16          4      1.00      0.00      1.00      0.00      0.00     98.00
01:41:16          5     46.46      0.00      5.05      0.00      0.00     48.48
01:41:16          6      0.99      0.00      1.98      0.00      0.00     97.03
01:41:16          7      7.00      0.00      1.00      0.00      0.00     92.00
01:41:16          8      2.00      0.00      1.00      0.00      0.00     97.00
01:41:16          9      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         10      0.00      0.00      1.01      0.00      0.00     98.99
01:41:16         11      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         12      0.00      0.00      2.00      0.00      0.00     98.00
01:41:16         13      0.00      0.00      1.00      0.00      0.00     99.00
01:41:16         14      0.00      0.00      1.00      1.00      0.00     98.00
01:41:16         15      1.01      0.00      0.00      1.01      0.00     97.98
01:41:16         16      1.00      0.00      0.00      0.00      0.00     99.00
01:41:16         17      7.00      0.00      1.00      3.00      0.00     89.00
01:41:16         18      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         19      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         20      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         21      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         22      0.00      0.00      1.98      0.00      0.00     98.02
01:41:16         23      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         24      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         25      1.01      0.00      1.01      0.00      0.00     97.98
01:41:16         26      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         27      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         28      0.00      0.00      1.00      0.00      0.00     99.00
01:41:16         29      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         30      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         31      2.00      0.00      2.00      8.00      0.00     88.00
01:41:16         32      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         33      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         34      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         35      1.00      0.00      1.00      0.00      0.00     98.00
01:41:16         36      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         37      0.00      0.00      0.00      0.00      0.00    100.00
01:41:16         38      1.01      0.00      0.00      0.00      0.00     98.99
01:41:16         39      2.97      0.00      1.98      4.95      0.00     90.10

01:41:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:17        all      1.80      0.00      0.38      0.00      0.00     97.82
01:41:17          0      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17          1      0.00      0.00      0.99      0.00      0.00     99.01
01:41:17          2      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17          3      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17          4      6.00      0.00      2.00      0.00      0.00     92.00
01:41:17          5      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17          6      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17          7      1.00      0.00      0.00      0.00      0.00     99.00
01:41:17          8     60.61      0.00      6.06      0.00      0.00     33.33
01:41:17          9      0.99      0.00      1.98      0.00      0.00     97.03
01:41:17         10      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         11      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         12      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         13      0.00      0.00      1.00      0.00      0.00     99.00
01:41:17         14      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         15      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         16      1.00      0.00      1.00      0.00      0.00     98.00
01:41:17         17      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         18      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         19      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         20      0.99      0.00      0.00      0.00      0.00     99.01
01:41:17         21      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         22      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         23      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         24      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         25      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         26      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         27      0.00      0.00      1.00      0.00      0.00     99.00
01:41:17         28      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         29      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         30      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         31      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         32      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         33      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         34      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         35      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         36      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         37      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         38      0.00      0.00      0.00      0.00      0.00    100.00
01:41:17         39      0.00      0.00      0.00      0.00      0.00    100.00

01:41:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:18        all      1.40      0.00      0.37      0.07      0.00     98.15
01:41:18          0      1.00      0.00      2.00      3.00      0.00     94.00
01:41:18          1      0.00      0.00      1.01      0.00      0.00     98.99
01:41:18          2      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18          3      0.98      0.00      1.96      0.00      0.00     97.06
01:41:18          4      1.00      0.00      0.00      0.00      0.00     99.00
01:41:18          5      0.00      0.00      0.99      0.00      0.00     99.01
01:41:18          6      0.99      0.00      0.00      0.00      0.00     99.01
01:41:18          7      0.00      0.00      0.99      0.00      0.00     99.01
01:41:18          8     44.44      0.00      4.04      0.00      0.00     51.52
01:41:18          9      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         10      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         11      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         12      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         13      0.99      0.00      0.00      0.00      0.00     99.01
01:41:18         14      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         15      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         16      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         17      6.00      0.00      1.00      0.00      0.00     93.00
01:41:18         18      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         19      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         20      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         21      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         22      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         23      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         24      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         25      1.00      0.00      0.00      0.00      0.00     99.00
01:41:18         26      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         27      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         28      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         29      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         30      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         31      0.00      0.00      0.99      0.00      0.00     99.01
01:41:18         32      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         33      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         34      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         35      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         36      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         37      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         38      0.00      0.00      0.00      0.00      0.00    100.00
01:41:18         39      0.00      0.00      0.00      0.00      0.00    100.00

01:41:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:19        all      0.03      0.00      0.00      0.00      0.00     99.97
01:41:19          0      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          1      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          2      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          3      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          4      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          5      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          6      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          7      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          8      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19          9      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         10      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         11      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         12      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         13      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         14      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         15      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         16      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         17      0.99      0.00      0.00      0.00      0.00     99.01
01:41:19         18      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         19      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         20      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         21      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         22      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         23      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         24      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         25      0.00      0.00      0.99      0.00      0.00     99.01
01:41:19         26      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         27      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         28      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         29      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         30      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         31      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         32      0.00      0.00      0.99      0.00      0.00     99.01
01:41:19         33      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         34      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         35      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         36      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         37      0.00      0.00      0.00      0.00      0.00    100.00
01:41:19         38      0.00      0.00      0.00      0.00      0.00    100.00
