Linux 6.6.23 (eternity2) 	05/24/25 	_x86_64_	(40 CPU)

01:59:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:59:36        all      2.13      0.00      0.60      0.70      0.00     96.57
01:59:36          0      1.98      0.00      1.98      0.00      0.00     96.04
01:59:36          1      1.00      0.00      0.00      0.00      0.00     99.00
01:59:36          2      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36          3      8.16      0.00      2.04      0.00      0.00     89.80
01:59:36          4      3.03      0.00      0.00      0.00      0.00     96.97
01:59:36          5      1.98      0.00      0.99      0.00      0.00     97.03
01:59:36          6     49.49      0.00      5.05      0.00      0.00     45.45
01:59:36          7      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36          8      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36          9      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         10      0.00      0.00      0.99      1.98      0.00     97.03
01:59:36         11      0.99      0.00      0.99      0.00      0.00     98.02
01:59:36         12      1.98      0.00      0.99      0.00      0.00     97.03
01:59:36         13      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         14      0.00      0.00      1.02      5.10      0.00     93.88
01:59:36         15      0.00      0.00      1.00      2.00      0.00     97.00
01:59:36         16      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         17      5.10      0.00      2.04     12.24      0.00     80.61
01:59:36         18      2.02      0.00      3.03      7.07      0.00     87.88
01:59:36         19      0.00      0.00      1.00      0.00      0.00     99.00
01:59:36         20      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         21      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         22      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         23      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         24      4.95      0.00      0.99      0.00      0.00     94.06
01:59:36         25      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         26      2.00      0.00      1.00      0.00      0.00     97.00
01:59:36         27      0.99      0.00      0.99      0.00      0.00     98.02
01:59:36         28      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         29      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         30      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         31      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         32      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         33      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         34      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         35      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         36      0.99      0.00      0.00      0.00      0.00     99.01
01:59:36         37      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         38      0.00      0.00      0.00      0.00      0.00    100.00
01:59:36         39      0.00      0.00      0.00      0.00      0.00    100.00

01:59:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:59:37        all      1.98      0.00      0.28      0.00      0.00     97.75
01:59:37          0     10.00      0.00      0.00      0.00      0.00     90.00
01:59:37          1      0.00      0.00      1.02      0.00      0.00     98.98
01:59:37          2      1.98      0.00      0.99      0.00      0.00     97.03
01:59:37          3     46.00      0.00      3.00      0.00      0.00     51.00
01:59:37          4      0.00      0.00      0.00      0.00      0.00    100.00
01:59:37          5      1.00      0.00      1.00      0.00      0.00     98.00
01:59:37          6      0.00      0.00      0.00      0.00      0.00    100.00
01:59:37          7      0.00      0.00      0.00      0.00      0.00    100.00
01:59:37          8      0.00      0.00      0.00      0.00      0.00    100.00
