Linux 6.6.23 (eternity2) 	05/23/25 	_x86_64_	(40 CPU)

17:45:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:45:56        all      2.25      0.00      0.70      0.78      0.00     96.27
17:45:56          0      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56          1      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56          2      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56          3      3.96      0.00      0.99      0.00      0.00     95.05
17:45:56          4     49.00      0.00      6.00      0.00      0.00     45.00
17:45:56          5      1.00      0.00      0.00      1.00      0.00     98.00
17:45:56          6      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56          7      0.00      0.00      1.98      0.00      0.00     98.02
17:45:56          8      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56          9      0.00      0.00      0.00      2.00      0.00     98.00
17:45:56         10      2.00      0.00      4.00      0.00      0.00     94.00
17:45:56         11      0.99      0.00      1.98      0.00      0.00     97.03
17:45:56         12      0.00      0.00      1.00      2.00      0.00     97.00
17:45:56         13      0.00      0.00      1.01      2.02      0.00     96.97
17:45:56         14      0.00      0.00      0.99      0.00      0.00     99.01
17:45:56         15      0.00      0.00      1.00      0.00      0.00     99.00
17:45:56         16      0.00      0.00      1.00      0.00      0.00     99.00
17:45:56         17      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         18      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         19      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         20      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         21      1.00      0.00      0.00      7.00      0.00     92.00
17:45:56         22      8.00      0.00      1.00      0.00      0.00     91.00
17:45:56         23      2.00      0.00      1.00      0.00      0.00     97.00
17:45:56         24      3.03      0.00      0.00      0.00      0.00     96.97
17:45:56         25      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         26      0.00      0.00      1.00      0.00      0.00     99.00
17:45:56         27      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         28      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         29      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         30      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         31      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         32      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         33      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         34      1.01      0.00      0.00      0.00      0.00     98.99
17:45:56         35      0.00      0.00      1.01      5.05      0.00     93.94
17:45:56         36      0.00      0.00      0.00      0.00      0.00    100.00
17:45:56         37      0.00      0.00      2.02      0.00      0.00     97.98
17:45:56         38      1.00      0.00      1.00      0.00      0.00     98.00
17:45:56         39     15.00      0.00      2.00     12.00      0.00     71.00

17:45:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:45:57        all      1.85      0.00      0.45      0.00      0.00     97.70
17:45:57          0      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          1     19.00      0.00      1.00      0.00      0.00     80.00
17:45:57          2     41.00      0.00      8.00      0.00      0.00     51.00
17:45:57          3      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          4      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          5      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          6      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          7      0.00      0.00      1.01      0.00      0.00     98.99
17:45:57          8      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57          9      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         10      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         11      1.01      0.00      0.00      0.00      0.00     98.99
17:45:57         12      0.99      0.00      0.99      0.00      0.00     98.02
17:45:57         13      1.00      0.00      1.00      0.00      0.00     98.00
17:45:57         14      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         15      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         16      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         17      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         18      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         19      0.00      0.00      1.00      0.00      0.00     99.00
17:45:57         20      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         21      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         22      1.00      0.00      0.00      0.00      0.00     99.00
17:45:57         23      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         24      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         25      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         26      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         27      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         28      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         29      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         30      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         31      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         32      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         33      0.00      0.00      0.00      0.00      0.00    100.00
17:45:57         34      1.00      0.00      0.00      0.00      0.00     99.00
17:45:57         35      0.00      0.00      1.01      0.00      0.00     98.99
17:45:57         36      1.00      0.00      0.00      0.00      0.00     99.00
17:45:57         37      7.00      0.00      1.00      0.00      0.00     92.00
17:45:57         38      1.00      0.00      0.00      0.00      0.00     99.00
17:45:57         39      0.00      0.00      0.00      0.00      0.00    100.00

17:45:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:45:58        all      1.18      0.00      0.33      0.00      0.00     98.50
17:45:58          0      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58          1     33.00      0.00      7.00      0.00      0.00     60.00
17:45:58          2      0.99      0.00      0.99      0.00      0.00     98.02
17:45:58          3      1.01      0.00      0.00      0.00      0.00     98.99
17:45:58          4      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58          5      0.99      0.00      0.99      0.00      0.00     98.02
17:45:58          6      1.00      0.00      0.00      0.00      0.00     99.00
17:45:58          7      0.00      0.00      0.99      0.00      0.00     99.01
17:45:58          8      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58          9      0.00      0.00      0.99      0.00      0.00     99.01
17:45:58         10      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         11      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         12      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         13      1.98      0.00      0.00      0.00      0.00     98.02
17:45:58         14      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         15      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         16      0.99      0.00      0.00      0.00      0.00     99.01
17:45:58         17      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         18      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         19      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         20      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         21      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         22      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         23      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         24      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         25      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         26      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         27      0.99      0.00      0.00      0.00      0.00     99.01
17:45:58         28      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         29      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         30      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         31      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         32      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         33      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         34      6.00      0.00      1.00      0.00      0.00     93.00
17:45:58         35      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         36      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         37      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         38      0.00      0.00      0.00      0.00      0.00    100.00
17:45:58         39      0.00      0.00      0.00      0.00      0.00    100.00

17:45:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:45:59        all      0.00      0.00      0.03      0.08      0.00     99.90
17:45:59          0      0.00      0.00      0.99      3.96      0.00     95.05
17:45:59          1      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          2      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          3      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          4      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          5      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          6      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          7      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          8      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59          9      0.99      0.00      0.00      0.00      0.00     99.01
17:45:59         10      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         11      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         12      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         13      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         14      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         15      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         16      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         17      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         18      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         19      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         20      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         21      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         22      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         23      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         24      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         25      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         26      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         27      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         28      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         29      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         30      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         31      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         32      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         33      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         34      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         35      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         36      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         37      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         38      0.00      0.00      0.00      0.00      0.00    100.00
17:45:59         39      0.00      0.00      0.00      0.00      0.00    100.00

17:45:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:00        all      0.02      0.00      0.02      0.00      0.00     99.95
17:46:00          0      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          4      0.99      0.00      0.00      0.00      0.00     99.01
17:46:00          5      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          6      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          7      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          8      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00          9      0.00      0.00      1.00      0.00      0.00     99.00
17:46:00         10      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         11      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         12      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         13      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         14      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         15      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         16      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         17      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         18      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         19      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         20      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         21      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         22      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         23      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         24      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         25      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         26      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         27      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         28      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         29      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         30      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         31      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         32      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         33      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         34      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         35      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         36      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         37      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         38      0.00      0.00      0.00      0.00      0.00    100.00
17:46:00         39      0.00      0.00      0.00      0.00      0.00    100.00

17:46:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:01        all      0.03      0.00      0.07      0.27      0.00     99.62
17:46:01          0      0.99      0.00      0.00      0.00      0.00     99.01
17:46:01          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          4      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          5      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          6      0.00      0.00      0.00      7.07      0.00     92.93
17:46:01          7      0.00      0.00      1.00      0.00      0.00     99.00
17:46:01          8      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01          9      0.00      0.00      0.99      0.00      0.00     99.01
17:46:01         10      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         11      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         12      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         13      0.00      0.00      1.00      0.00      0.00     99.00
17:46:01         14      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         15      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         16      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         17      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         18      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         19      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         20      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         21      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         22      0.00      0.00      0.00      3.00      0.00     97.00
17:46:01         23      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         24      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         25      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         26      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         27      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         28      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         29      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         30      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         31      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         32      0.00      0.00      0.99      0.00      0.00     99.01
17:46:01         33      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         34      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         35      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         36      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         37      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         38      0.00      0.00      0.00      0.00      0.00    100.00
17:46:01         39      0.00      0.00      0.00      0.00      0.00    100.00

17:46:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:02        all      0.03      0.00      0.03      0.00      0.00     99.95
17:46:02          0      0.00      0.00      0.99      0.00      0.00     99.01
17:46:02          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          4      0.00      0.00      1.00      0.00      0.00     99.00
17:46:02          5      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          6      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          7      0.99      0.00      0.00      0.00      0.00     99.01
17:46:02          8      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02          9      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         10      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         11      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         12      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         13      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         14      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         15      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         16      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         17      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         18      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         19      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         20      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         21      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         22      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         23      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         24      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         25      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         26      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         27      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         28      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         29      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         30      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         31      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         32      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         33      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         34      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         35      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         36      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         37      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         38      0.00      0.00      0.00      0.00      0.00    100.00
17:46:02         39      0.00      0.00      0.00      0.00      0.00    100.00

17:46:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:03        all      0.00      0.00      0.07      0.00      0.00     99.93
17:46:03          0      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          4      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          5      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          6      0.00      0.00      0.99      0.00      0.00     99.01
17:46:03          7      0.00      0.00      1.00      0.00      0.00     99.00
17:46:03          8      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03          9      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         10      0.99      0.00      0.00      0.00      0.00     99.01
17:46:03         11      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         12      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         13      0.99      0.00      0.00      0.00      0.00     99.01
17:46:03         14      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         15      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         16      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         17      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         18      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         19      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         20      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         21      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         22      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         23      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         24      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         25      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         26      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         27      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         28      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         29      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         30      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         31      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         32      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         33      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         34      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         35      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         36      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         37      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         38      0.00      0.00      0.00      0.00      0.00    100.00
17:46:03         39      0.00      0.00      0.00      0.00      0.00    100.00

17:46:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:04        all      0.03      0.00      0.00      0.00      0.00     99.98
17:46:04          0      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          4      0.00      0.00      0.99      0.00      0.00     99.01
17:46:04          5      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          6      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          7      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          8      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04          9      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         10      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         11      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         12      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         13      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         14      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         15      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         16      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         17      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         18      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         19      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         20      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         21      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         22      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         23      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         24      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         25      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         26      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         27      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         28      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         29      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         30      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         31      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         32      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         33      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         34      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         35      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         36      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         37      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         38      0.00      0.00      0.00      0.00      0.00    100.00
17:46:04         39      0.00      0.00      0.00      0.00      0.00    100.00

17:46:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:46:05        all      0.03      0.00      0.03      0.00      0.00     99.95
17:46:05          0      0.00      0.00      0.00      0.00      0.00    100.00
17:46:05          1      0.00      0.00      0.00      0.00      0.00    100.00
17:46:05          2      0.00      0.00      0.00      0.00      0.00    100.00
17:46:05          3      0.00      0.00      0.00      0.00      0.00    100.00
17:46:05          4      0.00      0.00      0.00      0.00      0.00    100.00
17:46:05          5      0.00      0.00      0.00      0.00      0.00    100.00
